segment_id,lat,lon,score,level,message,coherence,is_reliable
TOMEI_0087,35.41015214035144,139.3035469727801,62,orange,【警戒】現地点検を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (-152.4 mm/年) | ⚠ 変動が加速中 [東名: SAR+DEM+気象+地質],0.714554488658905,True
TOMEI_0086,35.38426416885974,139.27420868252807,61,orange,【警戒】現地点検を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (-152.4 mm/年) | ⚠ 変動が加速中 [東名: SAR+DEM+気象+地質+履歴],0.714554488658905,True
TOMEI_0088,35.412143563428586,139.3120074074239,61,orange,【警戒】現地点検を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (-152.4 mm/年) | ⚠ 変動が加速中 [東名: SAR+DEM+気象+地質],0.714554488658905,True
TOMEI_0091,35.56463045517669,139.55940831585463,60,orange,【警戒】現地点検を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (-158.0 mm/年) | ⚠ 変動が加速中 [東名: SAR+DEM+気象+地質],0.44101831316947937,True
TOMEI_0092,35.60885370831391,139.58589785511444,60,orange,【警戒】現地点検を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (-62.0 mm/年) | ⚠ 変動が加速中 [東名: SAR+DEM+気象+地質],0.531927227973938,True
TOMEI_0089,35.51409897817584,139.49085996834916,59,orange,【警戒】現地点検を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (-63.2 mm/年) | ⚠ 変動が加速中 [東名: SAR+DEM+気象+地質],0.766119658946991,True
TOMEI_0090,35.51842956704907,139.5004605749259,59,orange,【警戒】現地点検を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (-63.2 mm/年) | ⚠ 変動が加速中 [東名: SAR+DEM+気象+地質],0.766119658946991,True
TOMEI_0044,35.2153548084886,138.90525925155563,49,yellow,【注意】監視強化を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (256.3 mm/年) [東名: SAR+DEM+気象+地質+履歴],0.5913000106811523,True
TOMEI_0046,35.30835805780848,138.9619805492975,49,yellow,【注意】監視強化を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (256.3 mm/年) [東名: SAR+DEM+気象+地質+履歴],0.5913000106811523,True
TOMEI_0048,35.331094833753944,138.9720755275517,49,yellow,【注意】監視強化を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (256.3 mm/年) [東名: SAR+DEM+気象+地質+履歴],0.5913000106811523,True
TOMEI_0083,35.35038860233157,139.22369196518898,49,yellow,【注意】監視強化を推奨します | 主要因: 地盤変動 | ⚠ 変動速度大 (-23.1 mm/年) | ⚠ 変動が加速中 [東名: SAR+DEM+気象+地質+履歴],0.724884033203125,True
